Date;Value;Currency
2002-12-31;11.8800;EUR
2003-01-31;11.4700;EUR
2003-02-28;11.3500;EUR
2003-03-31;11.1900;EUR
2003-04-30;11.6100;EUR
2003-05-31;11.9600;EUR
2003-06-30;12.1800;EUR
2003-07-31;12.2900;EUR
2003-08-31;12.4100;EUR
2003-09-30;12.2300;EUR
2003-10-31;12.5700;EUR
2003-11-30;12.6900;EUR
2003-12-31;12.9200;EUR
2004-01-31;13.0900;EUR
2004-02-28;13.2800;EUR
2004-03-31;13.3100;EUR
2004-04-30;13.2100;EUR
2004-05-31;13.1400;EUR
2004-06-30;13.3500;EUR
2004-07-30;13.2000;EUR
2004-08-31;13.1700;EUR
2004-09-30;13.2700;EUR
2004-10-31;13.4300;EUR
2004-11-30;13.6700;EUR
2004-12-31;13.9100;EUR
2005-01-31;14.0000;EUR
2005-02-28;14.2100;EUR
2005-03-31;14.2000;EUR
2005-04-30;14.0000;EUR
2005-05-31;14.3900;EUR
2005-06-30;14.6100;EUR
2005-07-31;15.0000;EUR
2005-08-31;14.9700;EUR
2005-09-30;15.3200;EUR
2005-10-31;15.0400;EUR
2005-11-30;15.4100;EUR
2005-12-31;15.7000;EUR
2006-01-31;16.0400;EUR
2006-02-28;16.1500;EUR
2006-03-31;16.3300;EUR
2006-04-30;16.3800;EUR
2006-05-31;15.9500;EUR
2006-06-30;15.9900;EUR
2006-07-31;16.1200;EUR
2006-08-31;16.3900;EUR
2006-09-30;16.5900;EUR
2006-10-31;16.8700;EUR
2006-11-30;17.0400;EUR
2006-12-31;17.3200;EUR
2007-01-31;17.4900;EUR
2007-02-28;17.3700;EUR
2007-03-31;17.5900;EUR
2007-04-30;18.0700;EUR
2007-05-31;18.5500;EUR
2007-06-30;18.4500;EUR
2007-07-31;18.0800;EUR
2007-08-31;17.9600;EUR
2007-09-30;18.1400;EUR
2007-10-31;18.2800;EUR
2007-11-30;17.7500;EUR
2007-12-31;17.7900;EUR
2008-01-31;16.8300;EUR
2008-02-29;16.6400;EUR
2008-03-31;16.2300;EUR
2008-04-30;16.8500;EUR
2008-05-31;17.0100;EUR
2008-06-30;16.1100;EUR
2008-07-31;15.9300;EUR
2008-08-31;16.2000;EUR
2008-09-30;15.1600;EUR
2008-10-31;13.7300;EUR
2008-11-30;13.3000;EUR
2008-12-31;13.3300;EUR
2009-01-31;12.8300;EUR
2009-02-28;12.2400;EUR
2009-03-31;12.6600;EUR
2009-04-30;13.6100;EUR
2009-05-31;14.0000;EUR
2009-06-30;13.9900;EUR
2009-07-31;14.4800;EUR
2009-08-31;14.8300;EUR
2009-09-30;15.1000;EUR
2009-10-31;14.8800;EUR
2009-11-30;15.0900;EUR
2009-12-31;15.4500;EUR
2010-01-31;15.1980;EUR
2010-02-28;15.2300;EUR
2010-03-31;15.8250;EUR
2010-04-30;15.7290;EUR
2010-05-31;15.2100;EUR
2010-06-30;15.0420;EUR
2010-07-31;15.4940;EUR
2010-08-31;15.3300;EUR
2010-09-30;15.7510;EUR
2010-10-31;16.0030;EUR
2010-11-30;15.7950;EUR
2010-12-31;16.3800;EUR
2011-01-31;16.5350;EUR
2011-02-28;16.7660;EUR
2011-03-31;16.5450;EUR
2011-04-30;16.7980;EUR
2011-05-31;16.7580;EUR
2011-06-30;16.6070;EUR
2011-07-31;16.2850;EUR
2011-08-31;15.5400;EUR
2011-09-30;15.2630;EUR
2011-10-31;15.7700;EUR
2011-11-30;15.6560;EUR
2011-12-31;15.7270;EUR
2012-01-31;15.9890;EUR
2012-02-29;16.4240;EUR
2012-03-31;16.5390;EUR
2012-04-30;16.2640;EUR
2012-05-31;15.8050;EUR
2012-06-30;16.1510;EUR
2012-07-31;16.5000;EUR
2012-08-31;16.7230;EUR
2012-09-30;16.8480;EUR
2012-10-31;16.9370;EUR
2012-11-30;17.1850;EUR
2012-12-31;17.4030;EUR
2013-01-31;17.6740;EUR
2013-02-28;17.7620;EUR
2013-03-31;17.9750;EUR
2013-04-30;18.2990;EUR
2013-05-31;18.5020;EUR
2013-06-30;18.0270;EUR
2013-07-31;18.5880;EUR
2013-08-31;18.3890;EUR
2013-09-30;18.8550;EUR
2013-10-31;19.3800;EUR
2013-11-30;19.5770;EUR
2013-12-31;19.6830;EUR
2014-01-31;19.5420;EUR
2014-02-28;19.9770;EUR
2014-03-31;20.0310;EUR
2014-04-30;20.1050;EUR
2014-05-31;20.4450;EUR
2014-06-30;20.5840;EUR
2014-07-31;20.4550;EUR
2014-08-31;20.8360;EUR
2014-09-30;20.9680;EUR
2014-10-31;20.8860;EUR
2014-11-30;21.3780;EUR
2014-12-31;21.3280;EUR
2015-01-15;21.2670;EUR
2015-01-31;21.8160;EUR
2015-02-16;22.1730;EUR
2015-02-28;22.5970;EUR
2015-03-16;23.0200;EUR
2015-03-31;22.8820;EUR
2015-04-15;23.2710;EUR
